,variable,Date,Time,value
3334,Croatia,1998,22,87.69912876712328
3335,Croatia,1998,23,84.79325479452055
3336,Croatia,1999,0,84.62930136986301
3337,Croatia,1999,1,82.07164931506848
3338,Croatia,1999,2,79.8180602739726
3339,Croatia,1999,3,78.04282191780823
3340,Croatia,1999,4,80.25879726027397
3341,Croatia,1999,5,87.20749589041097
3342,Croatia,1999,6,98.9668191780822
3343,Croatia,1999,7,114.0899095890411
3344,Croatia,1999,8,128.26694520547946
3345,Croatia,1999,9,138.92518356164385
3346,Croatia,1999,10,146.61435616438357
3347,Croatia,1999,11,151.40463835616438
3348,Croatia,1999,12,153.3802301369863
3349,Croatia,1999,13,152.18440547945204
3350,Croatia,1999,14,147.1978301369863
3351,Croatia,1999,15,138.19249863013698
3352,Croatia,1999,16,127.22991780821917
3353,Croatia,1999,17,115.79236438356165
3354,Croatia,1999,18,106.81498904109588
3355,Croatia,1999,19,101.54719178082192
3356,Croatia,1999,20,97.11810684931505
3357,Croatia,1999,21,93.47615342465754
3358,Croatia,1999,22,90.18951232876712
3359,Croatia,1999,23,87.2215698630137
3360,Croatia,2000,0,93.69972404371585
3361,Croatia,2000,1,91.0417650273224
3362,Croatia,2000,2,88.56141530054644
3363,Croatia,2000,3,86.53230601092896
3364,Croatia,2000,4,89.24548633879782
3365,Croatia,2000,5,97.6996174863388
3366,Croatia,2000,6,111.96651639344263
3367,Croatia,2000,7,129.42806557377048
3368,Croatia,2000,8,145.01362841530053
3369,Croatia,2000,9,157.12715027322403
3370,Croatia,2000,10,166.21882513661203
3371,Croatia,2000,11,172.22701639344263
3372,Croatia,2000,12,174.9654398907104
3373,Croatia,2000,13,173.8803306010929
3374,Croatia,2000,14,167.7711912568306
3375,Croatia,2000,15,156.90620765027322
3376,Croatia,2000,16,144.30035792349727
3377,Croatia,2000,17,130.62812021857923
3378,Croatia,2000,18,119.35322677595629
3379,Croatia,2000,19,112.85108743169398
3380,Croatia,2000,20,107.63738524590165
3381,Croatia,2000,21,103.37796448087431
3382,Croatia,2000,22,99.81368032786885
3383,Croatia,2000,23,96.6518306010929
3384,Croatia,2001,0,85.33458630136987
3385,Croatia,2001,1,83.00164383561643
3386,Croatia,2001,2,80.86332876712329
3387,Croatia,2001,3,79.07343835616439
3388,Croatia,2001,4,81.62134520547946
3389,Croatia,2001,5,88.98188493150684
3390,Croatia,2001,6,101.74480547945205
3391,Croatia,2001,7,117.41655616438355
3392,Croatia,2001,8,131.93867671232877
3393,Croatia,2001,9,143.1479808219178
3394,Croatia,2001,10,151.14682465753424
3395,Croatia,2001,11,156.33142465753426
3396,Croatia,2001,12,158.36831506849313
3397,Croatia,2001,13,157.21358082191782
3398,Croatia,2001,14,151.70710684931507
3399,Croatia,2001,15,141.80154246575344
3400,Croatia,2001,16,130.44566301369863
3401,Croatia,2001,17,118.02689041095891
3402,Croatia,2001,18,108.08631780821918
3403,Croatia,2001,19,102.30599726027397
3404,Croatia,2001,20,97.3677095890411
3405,Croatia,2001,21,93.50325479452056
3406,Croatia,2001,22,90.44988767123289
3407,Croatia,2001,23,87.7586
3408,Croatia,2002,0,90.27753972602741
3409,Croatia,2002,1,87.99263561643836
3410,Croatia,2002,2,85.75839178082191
3411,Croatia,2002,3,83.9304301369863
3412,Croatia,2002,4,86.23001369863015
3413,Croatia,2002,5,93.3088794520548
3414,Croatia,2002,6,105.81625753424657
3415,Croatia,2002,7,121.01879452054794
3416,Croatia,2002,8,135.02607123287672
3417,Croatia,2002,9,145.9251890410959
3418,Croatia,2002,10,154.0401808219178
3419,Croatia,2002,11,159.45891506849316
3420,Croatia,2002,12,161.7542712328767
3421,Croatia,2002,13,160.77360000000002
3422,Croatia,2002,14,155.5537205479452
3423,Croatia,2002,15,146.0890712328767
3424,Croatia,2002,16,134.71207671232878
3425,Croatia,2002,17,122.54877808219177
3426,Croatia,2002,18,112.7038191780822
3427,Croatia,2002,19,106.9952712328767
3428,Croatia,2002,20,102.25999452054795
3429,Croatia,2002,21,98.57679452054794
3430,Croatia,2002,22,95.52095890410959
3431,Croatia,2002,23,92.84034520547947
3432,Croatia,2003,0,85.48287945205479
3433,Croatia,2003,1,82.87375616438355
3434,Croatia,2003,2,80.33526849315068
3435,Croatia,2003,3,78.17260547945206
3436,Croatia,2003,4,80.6597589041096
3437,Croatia,2003,5,89.08104383561643
3438,Croatia,2003,6,103.2299808219178
3439,Croatia,2003,7,120.20286301369863
3440,Croatia,2003,8,136.1376301369863
3441,Croatia,2003,9,148.59747671232876
3442,Croatia,2003,10,157.3938904109589
3443,Croatia,2003,11,163.14490136986302
3444,Croatia,2003,12,165.67624931506847
3445,Croatia,2003,13,164.5822520547945
3446,Croatia,2003,14,158.88515890410957
3447,Croatia,2003,15,148.5564794520548
3448,Croatia,2003,16,135.64043561643834
3449,Croatia,2003,17,121.49407945205479
3450,Croatia,2003,18,110.486298630137
3451,Croatia,2003,19,104.12037260273974
3452,Croatia,2003,20,98.78763013698631
3453,Croatia,2003,21,94.69523561643835
3454,Croatia,2003,22,91.40966301369863
3455,Croatia,2003,23,88.36235068493151
3456,Croatia,2004,0,82.29078961748634
3457,Croatia,2004,1,80.05093715846995
3458,Croatia,2004,2,77.91005464480874
3459,Croatia,2004,3,76.09446721311475
3460,Croatia,2004,4,78.21342896174863
3461,Croatia,2004,5,84.93437158469945
3462,Croatia,2004,6,96.60937158469945
3463,Croatia,2004,7,111.93957103825137
3464,Croatia,2004,8,126.14598087431695
3465,Croatia,2004,9,137.10408743169398
3466,Croatia,2004,10,144.95488524590164
3467,Croatia,2004,11,150.16121038251364
3468,Croatia,2004,12,152.3122295081967
3469,Croatia,2004,13,151.0539699453552
3470,Croatia,2004,14,145.4795300546448
3471,Croatia,2004,15,136.0024426229508
3472,Croatia,2004,16,125.38974863387979
3473,Croatia,2004,17,113.45534426229509
3474,Croatia,2004,18,103.85953005464482
3475,Croatia,2004,19,98.3652950819672
3476,Croatia,2004,20,93.90281967213114
3477,Croatia,2004,21,90.28196448087432
3478,Croatia,2004,22,87.33486885245902
3479,Croatia,2004,23,84.6666256830601
3480,Croatia,2005,0,77.6051890410959
3481,Croatia,2005,1,75.21706575342465
3482,Croatia,2005,2,72.98925205479452
3483,Croatia,2005,3,71.01918356164384
3484,Croatia,2005,4,72.97592602739726
3485,Croatia,2005,5,79.63327123287671
3486,Croatia,2005,6,91.19099726027397
3487,Croatia,2005,7,106.55856986301369
3488,Croatia,2005,8,120.55008493150686
3489,Croatia,2005,9,131.68347397260274
3490,Croatia,2005,10,139.6751315068493
3491,Croatia,2005,11,144.899898630137
3492,Croatia,2005,12,146.94567671232878
3493,Croatia,2005,13,145.7840876712329
3494,Croatia,2005,14,140.34900273972602
3495,Croatia,2005,15,130.95042739726028
3496,Croatia,2005,16,120.17880273972602
3497,Croatia,2005,17,108.47379452054794
3498,Croatia,2005,18,99.19626301369863
3499,Croatia,2005,19,93.59722739726027
3500,Croatia,2005,20,89.07904657534246
3501,Croatia,2005,21,85.59794520547945
3502,Croatia,2005,22,82.7886684931507
3503,Croatia,2005,23,80.17360273972604
3504,Croatia,2006,0,84.35368493150685
3505,Croatia,2006,1,81.88659726027397
3506,Croatia,2006,2,79.60393698630138
3507,Croatia,2006,3,77.64241643835616
3508,Croatia,2006,4,79.65033698630137
3509,Croatia,2006,5,86.5716794520548
3510,Croatia,2006,6,98.78622739726026
3511,Croatia,2006,7,114.65802465753426
3512,Croatia,2006,8,129.39368493150684
3513,Croatia,2006,9,141.26069315068492
3514,Croatia,2006,10,149.73150684931508
3515,Croatia,2006,11,155.0124082191781
3516,Croatia,2006,12,157.34754520547946
3517,Croatia,2006,13,156.38992054794522
3518,Croatia,2006,14,150.90954246575342
3519,Croatia,2006,15,140.70583561643835
3520,Croatia,2006,16,129.07264657534247
3521,Croatia,2006,17,116.66296164383562
3522,Croatia,2006,18,107.32768219178082
3523,Croatia,2006,19,101.79114794520548
3524,Croatia,2006,20,97.14715616438356
3525,Croatia,2006,21,93.19305205479452
3526,Croatia,2006,22,90.04262739726028
3527,Croatia,2006,23,86.99810410958905
3528,Croatia,2007,0,92.50640821917808
3529,Croatia,2007,1,90.13318630136986
3530,Croatia,2007,2,87.80154246575341
3531,Croatia,2007,3,85.63405479452055
3532,Croatia,2007,4,87.6136301369863
3533,Croatia,2007,5,95.18332876712329
3534,Croatia,2007,6,108.64848219178083
3535,Croatia,2007,7,125.27859452054794
3536,Croatia,2007,8,140.6901589041096
3537,Croatia,2007,9,152.80666575342465
3538,Croatia,2007,10,161.71770136986302
3539,Croatia,2007,11,167.37378904109588
3540,Croatia,2007,12,169.7455479452055
3541,Croatia,2007,13,168.6709726027397
3542,Croatia,2007,14,162.98476712328767
3543,Croatia,2007,15,152.50000821917808
3544,Croatia,2007,16,140.39974246575343
3545,Croatia,2007,17,127.06599178082192
3546,Croatia,2007,18,116.5237315068493
3547,Croatia,2007,19,110.17968767123288
3548,Croatia,2007,20,105.06187123287671
3549,Croatia,2007,21,100.98285753424658
3550,Croatia,2007,22,97.81335342465755
3551,Croatia,2007,23,94.8727616438356
3552,Croatia,2008,0,92.02678142076503
3553,Croatia,2008,1,89.65866393442624
3554,Croatia,2008,2,87.46150546448088
3555,Croatia,2008,3,85.36831147540984
3556,Croatia,2008,4,87.30634426229508
3557,Croatia,2008,5,94.43504644808743
3558,Croatia,2008,6,107.02001639344263
3559,Croatia,2008,7,123.21707103825136
3560,Croatia,2008,8,138.31267486338797
3561,Croatia,2008,9,150.26031420765028
3562,Croatia,2008,10,158.92170218579236
3563,Croatia,2008,11,164.3668989071038
3564,Croatia,2008,12,166.5011693989071
3565,Croatia,2008,13,165.29681967213114
3566,Croatia,2008,14,159.69531147540982
3567,Croatia,2008,15,149.3557213114754
3568,Croatia,2008,16,137.79504098360655
3569,Croatia,2008,17,124.85816666666666
3570,Croatia,2008,18,114.57685792349726
3571,Croatia,2008,19,108.55403005464481
3572,Croatia,2008,20,103.69361202185793
3573,Croatia,2008,21,100.018456284153
3574,Croatia,2008,22,97.21642349726777
3575,Croatia,2008,23,94.59782240437158
3576,Croatia,2009,0,90.2044410958904
3577,Croatia,2009,1,87.71129589041095
3578,Croatia,2009,2,85.4974
3579,Croatia,2009,3,83.47155068493151
3580,Croatia,2009,4,85.74434246575343
3581,Croatia,2009,5,93.0133095890411
3582,Croatia,2009,6,105.81683835616438
3583,Croatia,2009,7,121.9997698630137
3584,Croatia,2009,8,136.7537506849315
3585,Croatia,2009,9,148.05986027397262
3586,Croatia,2009,10,156.52096712328768
3587,Croatia,2009,11,161.88256438356163
3588,Croatia,2009,12,164.12928767123287
3589,Croatia,2009,13,163.01570136986302
3590,Croatia,2009,14,157.72132328767125
3591,Croatia,2009,15,147.9796712328767
3592,Croatia,2009,16,136.4450821917808
3593,Croatia,2009,17,123.80301643835617
3594,Croatia,2009,18,113.92983561643835
3595,Croatia,2009,19,107.98723287671231
3596,Croatia,2009,20,103.21214794520549
3597,Croatia,2009,21,99.21378356164384
3598,Croatia,2009,22,96.01661369863014
3599,Croatia,2009,23,93.13456164383561
3600,Croatia,2010,0,81.1724794520548
3601,Croatia,2010,1,78.9316794520548
3602,Croatia,2010,2,76.78024383561645
3603,Croatia,2010,3,75.01038356164383
3604,Croatia,2010,4,77.17543561643835
3605,Croatia,2010,5,83.84545205479452
3606,Croatia,2010,6,95.27447123287672
3607,Croatia,2010,7,109.46903835616439
3608,Croatia,2010,8,122.78066301369864
3609,Croatia,2010,9,133.07368493150685
3610,Croatia,2010,10,140.59872054794522
3611,Croatia,2010,11,145.45779452054794
3612,Croatia,2010,12,147.40352602739725
3613,Croatia,2010,13,146.50948767123288
3614,Croatia,2010,14,142.0783890410959
3615,Croatia,2010,15,133.5945506849315
3616,Croatia,2010,16,123.041701369863
3617,Croatia,2010,17,111.13291232876712
3618,Croatia,2010,18,101.67764383561642
3619,Croatia,2010,19,96.37514246575343
3620,Croatia,2010,20,92.20658356164382
3621,Croatia,2010,21,88.77059726027397
3622,Croatia,2010,22,85.91027397260274
3623,Croatia,2010,23,83.31181369863015
3624,Croatia,2011,0,88.06031506849315
3625,Croatia,2011,1,85.44326301369863
3626,Croatia,2011,2,82.94238630136987
3627,Croatia,2011,3,80.68851506849316
3628,Croatia,2011,4,82.70368767123288
3629,Croatia,2011,5,90.70957534246575
3630,Croatia,2011,6,104.40354246575342
3631,Croatia,2011,7,121.31613150684932
3632,Croatia,2011,8,137.3325506849315
3633,Croatia,2011,9,149.9117890410959
3634,Croatia,2011,10,159.478698630137
3635,Croatia,2011,11,165.83122191780822
3636,Croatia,2011,12,168.63698630136986
3637,Croatia,2011,13,167.5696684931507
3638,Croatia,2011,14,161.41985205479452
3639,Croatia,2011,15,150.4351890410959
3640,Croatia,2011,16,137.17243561643835
3641,Croatia,2011,17,123.25453972602739
3642,Croatia,2011,18,112.35332328767124
3643,Croatia,2011,19,106.12119178082192
3644,Croatia,2011,20,100.99933424657533
3645,Croatia,2011,21,96.91271780821918
3646,Croatia,2011,22,93.75214794520548
3647,Croatia,2011,23,90.93162739726027
3648,Croatia,2012,0,90.08243442622951
3649,Croatia,2012,1,87.52981420765028
3650,Croatia,2012,2,85.19406284153006
3651,Croatia,2012,3,83.16042896174864
3652,Croatia,2012,4,85.430456284153
3653,Croatia,2012,5,93.62197540983608
3654,Croatia,2012,6,107.65369945355191
3655,Croatia,2012,7,125.08988524590164
3656,Croatia,2012,8,141.2060218579235
3657,Croatia,2012,9,153.87210109289617
3658,Croatia,2012,10,163.35473224043716
3659,Croatia,2012,11,169.5720300546448
3660,Croatia,2012,12,172.3797213114754
3661,Croatia,2012,13,171.59070765027323
3662,Croatia,2012,14,166.0097732240437
3663,Croatia,2012,15,155.28348907103825
3664,Croatia,2012,16,141.94159016393442
3665,Croatia,2012,17,127.63331147540984
3666,Croatia,2012,18,116.13499453551914
3667,Croatia,2012,19,109.40330601092896
3668,Croatia,2012,20,103.78786065573772
3669,Croatia,2012,21,99.26851912568306
3670,Croatia,2012,22,95.84792349726774
3671,Croatia,2012,23,92.8629398907104
3672,Croatia,2013,0,88.68692328767123
3673,Croatia,2013,1,86.3314794520548
3674,Croatia,2013,2,84.25910136986302
3675,Croatia,2013,3,82.54490684931507
3676,Croatia,2013,4,84.91460000000001
